time_s,envelope
5.09,0.056472942
5.095,0.0785003
5.1,-0.022004321
5.105,0.0015004873
5.11,0.009329706
5.115,0.0293075
5.12,0.0024789274
5.125,-0.05675187
5.13,-0.028967671
5.135,0.07541391
5.14,0.0155599415
5.145,-0.068512574
5.15,-0.029368214
5.155,0.013702273
5.16,0.019506305
5.165,0.028983101
5.17,0.009456068
5.175,0.03453663
5.18,0.13344611
5.185,0.08340074
5.19,0.04648018
5.195,0.046425745
5.2,0.07732546
5.205,0.062379494
5.21,0.070845366
5.215,0.021519944
5.22,0.006049156
5.225,0.034874976
5.23,0.077833325
5.235,0.05819328
5.24,-0.030727275
5.245,0.008766875
5.25,0.10875064
5.255,0.037265092
5.26,0.033569217
5.265,0.11203529
5.27,0.100358516
5.275,0.119623214
5.28,0.11361095
5.285,0.066287294
5.29,0.017329738
5.295,0.088596165
5.3,-0.020037107
5.305,-0.021790639
5.31,0.16157047
5.315,-0.0367321
5.32,0.062401056
5.325,-0.00030232966
5.33,0.019822001
5.335,0.08688864
5.34,0.13127647
5.345,0.033375233
5.35,0.06474072
5.355,0.028005585
5.36,0.08968043
5.365,0.124585256
5.37,-0.008275874
5.375,0.002873078
5.38,-0.02391512
5.385,0.10712564
5.39,0.026296511
5.395,-0.024945088
5.4,0.0010437369
5.405,0.032663673
5.41,0.008034691
5.415,0.011751667
5.42,-0.052629553
5.425,0.010472059
5.43,-0.03630334
5.435,0.015208736
5.44,-0.020832002
5.445,0.0054274052
5.45,0.054225713
5.455,-0.02288004
5.46,0.017602786
5.465,0.03502199
5.47,-0.02284836
5.475,-0.0037146509
5.48,0.007456869
5.485,0.022572622
5.49,0.03967665
5.495,0.115502656
5.5,0.009344786
5.505,0.02392684
5.51,0.055438817
5.515,0.06241685
5.52,0.08318511
5.525,0.0479424
5.53,-0.025933899
5.535,-0.00017826259
5.54,0.08740519
5.545,0.025397465
5.55,0.032004163
5.555,0.054808915
5.56,0.02664031
5.565,-0.019387819
5.57,0.056696028
5.575,0.016583383
5.58,-0.008156449
5.585,0.021833703
5.59,0.054251432
5.595,0.111665845
5.6,0.0102623105
5.605,-0.01603613
5.61,-0.002412051
5.615,0.09471367
5.62,0.038680956
5.625,0.0017575026
5.63,0.020725816
5.635,0.064646155
5.64,0.0131050795
5.645,0.014716446
5.65,0.08040133
5.655,0.05753532
5.66,0.14028738
5.665,0.08754724
5.67,0.12741725
5.675,0.13121979
5.68,0.21066965
5.685,0.113855064
5.69,0.017284736
5.695,0.052388936
5.7,-0.03061296
5.705,0.08358443
5.71,-0.027826302
5.715,0.04950258
5.72,0.07004212
5.725,0.13487564
5.73,0.16703616
5.735,0.14816277
5.74,0.05723299
5.745,-0.007970266
5.75,0.12701245
5.755,0.023625016
5.76,-0.024361573
5.765,-0.012450077
5.77,-0.04249227
5.775,0.0015169233
5.78,-0.019087315
5.785,0.043294564
5.79,-0.018325426
5.795,-0.005251877
5.8,-0.020723619
5.805,0.05852382
5.81,0.05785823
5.815,-0.009900056
5.82,6.502867e-05
5.825,-0.010703169
5.83,0.063299224
5.835,-0.03219918
5.84,0.016464919
5.845,0.0328632
